year,category,signed,filename,path,relative_path,size_bytes,modified,sha256,pages,text_chars,page_text_chars,extract_error
2016,especificacion_compra_instalacion,False,EIM-GF-0009-2016-N---Aclaraciones Esp. Tec. AA C.COLÓN.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2016\DOCUMENTOS PARA ENVIAR ---PDF---\NOTAS PDF 2016\EIM-GF-0009-2016-N---Aclaraciones Esp. Tec. AA C.COLÓN.pdf,2016\DOCUMENTOS PARA ENVIAR ---PDF---\NOTAS PDF 2016\EIM-GF-0009-2016-N---Aclaraciones Esp. Tec. AA C.COLÓN.pdf,398329,1469819063.0,b472a88b7821fff8525ca33af34d0616ce88d94f5ee5a7318e1058348d7d3522,1,0,[0],
2016,especificacion_compra_instalacion,False,EIM-GF-0010-2016-N---Aclaraciones Esp. Tec. AA Atlántica.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2016\DOCUMENTOS PARA ENVIAR ---PDF---\NOTAS PDF 2016\EIM-GF-0010-2016-N---Aclaraciones Esp. Tec. AA Atlántica.pdf,2016\DOCUMENTOS PARA ENVIAR ---PDF---\NOTAS PDF 2016\EIM-GF-0010-2016-N---Aclaraciones Esp. Tec. AA Atlántica.pdf,344610,1470260744.0,2cb9978939340a50c428ea97cbefbd975c2e9a0b49009f896deaf18493a41da9,1,0,[0],
2016,especificacion_compra_instalacion,False,EIM-GF-0011-2016-N---Aclaraciones Esp. Tec. AA Chorotega.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2016\DOCUMENTOS PARA ENVIAR ---PDF---\NOTAS PDF 2016\EIM-GF-0011-2016-N---Aclaraciones Esp. Tec. AA Chorotega.pdf,2016\DOCUMENTOS PARA ENVIAR ---PDF---\NOTAS PDF 2016\EIM-GF-0011-2016-N---Aclaraciones Esp. Tec. AA Chorotega.pdf,350361,1472053743.0,b1649bc87ab226f50d6fb129184ae4340464c39295d3cfe8865db70f1c6aa1f3,1,0,[0],
2016,especificacion_compra_instalacion,False,EIM-GF-0012-2016-IT---Esp. Téc. AA Turrialba.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2016\DOCUMENTOS PARA ENVIAR ---PDF---\INFORMES PDF 2016\EIM-GF-0012-2016-IT---Esp. Téc. AA Turrialba.pdf,2016\DOCUMENTOS PARA ENVIAR ---PDF---\INFORMES PDF 2016\EIM-GF-0012-2016-IT---Esp. Téc. AA Turrialba.pdf,7495179,1459802097.0,96b209621f217070cd3878cddd8d9527df2a3422eeb3045840031d1daa79ac61,24,687,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 256, 205]",
2016,especificacion_compra_instalacion,False,EIM-GF-0013-2016-IT---Esp. Téc. AA Jicaral.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2016\DOCUMENTOS PARA ENVIAR ---PDF---\INFORMES PDF 2016\EIM-GF-0013-2016-IT---Esp. Téc. AA Jicaral.pdf,2016\DOCUMENTOS PARA ENVIAR ---PDF---\INFORMES PDF 2016\EIM-GF-0013-2016-IT---Esp. Téc. AA Jicaral.pdf,4264602,1460120584.0,f6cbf9af9e9eb7162cbde0244bb416206191f996a46ef5e2d8bf448276f43710,14,26,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
2016,respuesta_inspeccion_recepcion,False,EIM-GF-0013-2016-N---Respuesta Rec. Rev. A.A. Atlántica.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2016\DOCUMENTOS PARA ENVIAR ---PDF---\NOTAS PDF 2016\EIM-GF-0013-2016-N---Respuesta Rec. Rev. A.A. Atlántica.pdf,2016\DOCUMENTOS PARA ENVIAR ---PDF---\NOTAS PDF 2016\EIM-GF-0013-2016-N---Respuesta Rec. Rev. A.A. Atlántica.pdf,589243,1473686426.0,548b1e743ce3626dab8805e07d381abdb44ce6f07e298994a050679b648b0a84,2,2,"[0, 0]",
2016,especificacion_compra_instalacion,False,EIM-GF-0019-2016-IT---Esp. Téc. AA Zona Atlántica.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2016\DOCUMENTOS PARA ENVIAR ---PDF---\INFORMES PDF 2016\EIM-GF-0019-2016-IT---Esp. Téc. AA Zona Atlántica.pdf,2016\DOCUMENTOS PARA ENVIAR ---PDF---\INFORMES PDF 2016\EIM-GF-0019-2016-IT---Esp. Téc. AA Zona Atlántica.pdf,4564015,1463434741.0,f77cb4899f9dd8ab9501c5ee22427d4193380aef4da14fc0fc3250252431505d,14,26,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
2016,especificacion_compra_instalacion,False,EIM-GF-0020-2016-IT---Esp. Téc. AA Jicaral Segunda Versión.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2016\DOCUMENTOS PARA ENVIAR ---PDF---\INFORMES PDF 2016\EIM-GF-0020-2016-IT---Esp. Téc. AA Jicaral Segunda Versión.pdf,2016\DOCUMENTOS PARA ENVIAR ---PDF---\INFORMES PDF 2016\EIM-GF-0020-2016-IT---Esp. Téc. AA Jicaral Segunda Versión.pdf,4219377,1463758377.0,d9f2a66d9f2066640934355eca5be300576cbd20d2d5fec05ce5e7be0680670c,14,26,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
2016,respuesta_inspeccion_recepcion,False,EIM-GF-0021-2016-N---Respuesta Rec. Rev. A.A. Chorotega.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2016\DOCUMENTOS PARA ENVIAR ---PDF---\NOTAS PDF 2016\EIM-GF-0021-2016-N---Respuesta Rec. Rev. A.A. Chorotega.pdf,2016\DOCUMENTOS PARA ENVIAR ---PDF---\NOTAS PDF 2016\EIM-GF-0021-2016-N---Respuesta Rec. Rev. A.A. Chorotega.pdf,814892,1474646840.0,884a9d2675bed0d6a2049ae425e69e482a91c4eb69ba912ce0c5cd89a46f93cd,2,2,"[0, 0]",
2016,respuesta_inspeccion_recepcion,False,EIM-GF-0023-2016-N---Respuesta Rec  Rev  A A  Ciudad Colón.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2016\DOCUMENTOS PARA ENVIAR ---PDF---\NOTAS PDF 2016\EIM-GF-0023-2016-N---Respuesta Rec  Rev  A A  Ciudad Colón.pdf,2016\DOCUMENTOS PARA ENVIAR ---PDF---\NOTAS PDF 2016\EIM-GF-0023-2016-N---Respuesta Rec  Rev  A A  Ciudad Colón.pdf,2682432,1474930174.0,0eb29f6f0a86ca62be1283bcfbe6036d1ac19d5b523859f418d073a39ac296e4,6,10,"[0, 0, 0, 0, 0, 0]",
2016,aclaracion_modificacion,False,EIM-GF-0029-2016-N---Aclaraciones Dar de Baja Equipo AA Atlántica.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2016\DOCUMENTOS PARA ENVIAR ---PDF---\NOTAS PDF 2016\EIM-GF-0029-2016-N---Aclaraciones Dar de Baja Equipo AA Atlántica.pdf,2016\DOCUMENTOS PARA ENVIAR ---PDF---\NOTAS PDF 2016\EIM-GF-0029-2016-N---Aclaraciones Dar de Baja Equipo AA Atlántica.pdf,390000,1481307516.0,73ebaf46e9737770b0b14b830e9882b97c506bf2d1f41f4800f6ffe07da8743f,1,0,[0],
2016,especificacion_compra_instalacion,False,EIM-GF-0033-2016-IT---Esp. Téc. AA Zona Atlántica Versión 2.0.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2016\DOCUMENTOS PARA ENVIAR ---PDF---\INFORMES PDF 2016\EIM-GF-0033-2016-IT---Esp. Téc. AA Zona Atlántica Versión 2.0.pdf,2016\DOCUMENTOS PARA ENVIAR ---PDF---\INFORMES PDF 2016\EIM-GF-0033-2016-IT---Esp. Téc. AA Zona Atlántica Versión 2.0.pdf,4661088,1468530532.0,38771bba6d95aad167435db0a74f179b82617fc91ddfe029999abce404ff0e65,14,26,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
2016,especificacion_compra_instalacion,False,EIM-GF-0034-2016-IT---Esp. Téc. AA Región Chorotega.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2016\DOCUMENTOS PARA ENVIAR ---PDF---\INFORMES PDF 2016\EIM-GF-0034-2016-IT---Esp. Téc. AA Región Chorotega.pdf,2016\DOCUMENTOS PARA ENVIAR ---PDF---\INFORMES PDF 2016\EIM-GF-0034-2016-IT---Esp. Téc. AA Región Chorotega.pdf,4927254,1469137959.0,f975a4d9f1fee80e1c6b5f912c143b367a66ba42468811990edcb4e8865b49b4,16,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
2015,especificacion_compra_instalacion,False,EIM-GF-0045-2015-IT---Esp. Téc. AA Puntarenas y Nicoya.pdf,C:\Users\marco\OneDrive - Caja Costarricense de Seguro Social\EIMGF\2015\DOCUMENTOS PARA ENVIAR ---PDF---\INFORMES PDF 2015\EIM-GF-0045-2015-IT---Esp. Téc. AA Puntarenas y Nicoya.pdf,2015\DOCUMENTOS PARA ENVIAR ---PDF---\INFORMES PDF 2015\EIM-GF-0045-2015-IT---Esp. Téc. AA Puntarenas y Nicoya.pdf,5895822,1441661331.0,b3c445e2b898a77aa87d8e50ab2e2293425c720c976e1a84d352054d78355a60,18,34,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
