1. GF-EIM-IT-0024-2025 RECOMENDACIÓN TECNICA PARAISO  ACEPTACIÓN 2.pdf | Trata de: GF-EIM-IT-0024-2025 RECOMENDACIÓN TECNICA PARAISO  ACEPTACIÓN 2.pdf | Antecedente: 1 ANTECEDENTES N/A
42. GF-EIM-IT-0039-2025-Esp. Electrodomésticos.pdf | Trata de: Especificaciones Técnicas para compra de Electrodomésticos para | Antecedente: No especificado
43. GF-EIM-IT-0040-2025-Dar de Baja Activos-A.A. Roxana.pdf | Trata de: Dar de Baja Aire Acondicionado en la Sucursal de La Roxana | Antecedente: Antecedentes
44. GF-EIM-IT-0041-2025  ESPECIFICACIONES TECNICAS PARA ADECUACIÓN DE LA SUCURSAL DE PARAÍSO 1.pdf | Trata de: Especificaciones Técnicas para adecuación de local de la Sucursal de Paraíso. | Antecedente: 1. ANTECEDENTES
45. GF-EIM-IT-0042-2025-Dar de Baja Activos-Ticaban.pdf | Trata de: Dar de Baja Activos Electromecánicos en la Sucursal de Ticabán | Antecedente: Antecedentes
46. GF-EIM-IT-0043-2025- Inspeccion por recepcion definitiva Sucursal la Union.pdf | Trata de: Visita de inspección por recepción definitiva Sucursal La Unión. | Antecedente: 1. Antecedente.
47. GF-EIM-IT-0044-2025 Esp. Tec. Alq. Suc. Nicoya.PDF | Trata de: Actualización e specificaciones Técnicas para alquiler de posible local que albergue las | Antecedente: I. ANTECEDENTES
48. GF-EIM-IT-0045-2025 Avalúo Nicoya.PDF | Trata de: Determinación del valor de bien inmueble como resultado del estudio para | Antecedente: 2. Antecedentes:
49. GF-EIM-IT-0046-2025 Especificaciones técnicas Alq. Suc. Miramar.pdf | Trata de: Especificaciones Técnicas para alquiler de posible local que albergue las | Antecedente: I. ANTECEDENTES
50. GF-EIM-IT-0047-2025. Avalúo Miramar.PDF | Trata de: Determinación del valor de bien inmueble como resultado del estudio para | Antecedente: 2. Antecedentes:
51. GF-EIM-IT-0048-2025 CARTEL ESPECIFICACIONES TECNICAS PARA ARRENDAMIENTO DE LOCAL SUCURSAL DE PACAYAS (27-10-2025) (1).pdf | Trata de: Especificaciones Técnicas para alquiler de posible local que albergue las instalaciones de | Antecedente: I. ANTECEDENTES
52. GF-EIM-IT-0049-2025 PACAYAS Estudio de mercado que lleve a determinar la idoneidad (1) (1).pdf | Trata de: Estudio de mercado que lleve a determinar la idoneidad para alquiler de posible | Antecedente: En referencia al oficio consecutivos GF-EIM-IT-0012-2025, se define un precio estimado por
53. GF-EIM-IT-0049-2025 PACAYAS Estudio de mercado que lleve a determinar la idoneidad (1) (2).pdf | Trata de: Estudio de mercado que lleve a determinar la idoneidad para alquiler de posible | Antecedente: En referencia al oficio consecutivos GF-EIM-IT-0012-2025, se define un precio estimado por
54. GF-EIM-IT-0050-2025 PACAYAS ESTUDIO RENTABILIDAD Y VIABILIDAD 1 1 (1) 1.pdf | Trata de: Estudio de rentabilidad y viabilidad sobre la propuesta para alquiler de posible | Antecedente: Mientras que al respecto de la viabilidad es importante mencionar una serie de antecedentes que
55. GF-EIM-IT-0051-2025-Visita Suc. Atenas Trabajo Cunetas.pdf | Trata de: GF-EIM-IT-0051-2025-Visita Suc. Atenas Trabajo Cunetas.pdf | Antecedente: Antecedentes
56. GF-EIM-IT-0052-2025 NICOYA ESTUDIO DE MERCADO 4 1.pdf | Trata de: Estudio de mercado que lleve a determinar la idoneidad para alquiler de posible | Antecedente: En referencia al oficio consecutivos GF-EIM-IT-0045-2025, se define un precio estimado por
